30.063280,31.281786
30.063267,31.281738
30.063238,31.281731
30.063211,31.281704
30.063131,31.281698
30.063076,31.281616
30.063076,31.281487
30.063076,31.281393
30.063084,31.281271
30.063103,31.281195
30.063158,31.281168
30.063219,31.281162
30.063267,31.281120
30.063299,31.281088
30.063286,31.281027
30.063286,31.280890
30.063341,31.280844
30.063395,31.280815
30.063442,31.280809
30.063490,31.280788
30.063538,31.280754
30.063591,31.280714
30.063633,31.280661
30.063660,31.280592
30.063700,31.280544
30.063774,31.280531
30.063835,31.280491
30.063910,31.280462
30.063971,31.280430
30.064039,31.280401
30.064108,31.280369
30.064169,31.280340
30.064230,31.280313
30.064291,31.280279
30.064337,31.280239
30.064365,31.280191
30.064379,31.280144
30.064365,31.280064
30.064344,31.279995
30.064323,31.279921
30.064304,31.279846
30.064283,31.279778
30.064270,31.279703
30.064262,31.279623
30.064249,31.279554
30.064230,31.279480
30.064196,31.279419
30.064182,31.279350
30.064154,31.279276
30.064135,31.279215
30.064114,31.279154
30.064087,31.279093
30.064060,31.279032
30.064026,31.278965
30.064005,31.278883
30.063978,31.278822
30.063951,31.278761
30.063931,31.278700
30.063917,31.278639
30.063896,31.278578
30.063883,31.278524
30.063843,31.278463
30.063816,31.278387
30.063808,31.278313
30.063787,31.278246
30.063774,31.278185
30.063755,31.278124
30.063713,31.278063
30.063686,31.278002
30.063673,31.277946
30.063652,31.277872
30.063612,31.277811
30.063551,31.277744
30.063524,31.277670
30.063538,31.277580
30.063503,31.277519
30.063450,31.277487
30.063429,31.277445
30.063450,31.277397
30.063503,31.277357
30.063543,31.277323
30.063490,31.277256
30.063402,31.277208
30.063416,31.277126
30.063429,31.277079
30.063442,31.277018
30.063463,31.276970
30.063482,31.276943
30.063511,31.276903
30.063530,31.276882
30.063559,31.276861
30.063620,31.276890
30.063665,31.276903
30.063665,31.276903
